,ALL,CORE,Date
0,2.512265,2.274839,2020-01-01
1,2.339738,2.379914,2020-02-01
2,1.523143,2.103097,2020-03-01
3,0.349878,1.450009,2020-04-01
4,0.216220,1.237139,2020-05-01
5,0.701767,1.179869,2020-06-01
6,1.018752,1.554614,2020-07-01
7,1.300593,1.710267,2020-08-01
8,1.373083,1.706580,2020-09-01
9,1.203163,1.626598,2020-10-01
10,1.169537,1.664108,2020-11-01
11,1.304953,1.623941,2020-12-01
12,1.395101,1.396336,2021-01-01
13,1.672931,1.275600,2021-02-01
14,2.618636,1.644901,2021-03-01
15,4.148742,2.960548,2021-04-01
16,4.926358,3.779459,2021-05-01
17,5.315094,4.418465,2021-06-01
18,5.257577,4.203496,2021-07-01
19,5.175314,3.950593,2021-08-01
20,5.361012,4.020081,2021-09-01
21,6.219043,4.583700,2021-10-01
22,6.862540,4.973198,2021-11-01
23,7.176584,5.504554,2021-12-01
24,7.569770,6.060530,2022-01-01
25,7.948918,6.452423,2022-02-01
26,8.547433,6.476063,2022-03-01
27,8.251856,6.157165,2022-04-01
28,8.533002,6.017555,2022-05-01
29,8.989744,5.903415,2022-06-01
30,8.449820,5.901753,2022-07-01
31,8.218811,6.299795,2022-08-01
32,8.198275,6.640451,2022-09-01
33,7.751947,6.294950,2022-10-01
34,7.119465,5.963092,2022-11-01
35,6.411497,5.680506,2022-12-01
36,6.362113,5.543027,2023-01-01
37,5.965522,5.493486,2023-02-01
38,4.935083,5.560116,2023-03-01
39,4.941061,5.515717,2023-04-01
40,4.120683,5.332249,2023-05-01
41,3.053258,4.855228,2023-06-01
42,3.271781,4.707602,2023-07-01
43,3.718720,4.412803,2023-08-01
44,3.694052,4.143707,2023-09-01
45,3.245787,4.021701,2023-10-01
46,3.139474,4.015094,2023-11-01
47,3.323157,3.910123,2023-12-01
48,3.105984,3.874669,2024-01-01
49,3.165737,3.761956,2024-02-01
50,3.475139,3.797294,2024-03-01
51,3.357727,3.615529,2024-04-01
52,3.250215,3.411069,2024-05-01
53,2.975635,3.276943,2024-06-01
