,Date,M3YD,Y10YD
0,2019-01-01,2.420000,2.710000
1,2019-02-01,2.440000,2.680000
2,2019-03-01,2.450000,2.570000
3,2019-04-01,2.430000,2.530000
4,2019-05-01,2.400000,2.400000
5,2019-06-01,2.220000,2.070000
6,2019-07-01,2.150000,2.060000
7,2019-08-01,1.990000,1.630000
8,2019-09-01,1.930000,1.700000
9,2019-10-01,1.680000,1.710000
10,2019-11-01,1.570000,1.810000
11,2019-12-01,1.570000,1.860000
12,2020-01-01,1.550000,1.760000
13,2020-02-01,1.540000,1.500000
14,2020-03-01,0.300000,0.870000
15,2020-04-01,0.140000,0.660000
16,2020-05-01,0.130000,0.670000
17,2020-06-01,0.160000,0.730000
18,2020-07-01,0.130000,0.620000
19,2020-08-01,0.100000,0.650000
20,2020-09-01,0.110000,0.680000
21,2020-10-01,0.100000,0.790000
22,2020-11-01,0.090000,0.870000
23,2020-12-01,0.090000,0.930000
24,2021-01-01,0.080000,1.080000
25,2021-02-01,0.040000,1.260000
26,2021-03-01,0.030000,1.610000
27,2021-04-01,0.020000,1.640000
28,2021-05-01,0.020000,1.620000
29,2021-06-01,0.040000,1.520000
30,2021-07-01,0.050000,1.320000
31,2021-08-01,0.050000,1.280000
32,2021-09-01,0.040000,1.370000
33,2021-10-01,0.050000,1.580000
34,2021-11-01,0.050000,1.560000
35,2021-12-01,0.060000,1.470000
36,2022-01-01,0.150000,1.760000
37,2022-02-01,0.310000,1.930000
38,2022-03-01,0.450000,2.130000
39,2022-04-01,0.760000,2.750000
40,2022-05-01,0.990000,2.900000
41,2022-06-01,1.540000,3.140000
42,2022-07-01,2.300000,2.900000
43,2022-08-01,2.720000,2.900000
44,2022-09-01,3.220000,3.520000
45,2022-10-01,3.870000,3.980000
46,2022-11-01,4.320000,3.890000
47,2022-12-01,4.360000,3.620000
48,2023-01-01,4.690000,3.530000
49,2023-02-01,4.790000,3.750000
50,2023-03-01,4.860000,3.660000
51,2023-04-01,5.070000,3.460000
52,2023-05-01,5.310000,3.570000
53,2023-06-01,5.420000,3.750000
54,2023-07-01,5.490000,3.900000
55,2023-08-01,5.560000,4.170000
56,2023-09-01,5.560000,4.380000
57,2023-10-01,5.600000,4.800000
58,2023-11-01,5.520000,4.500000
59,2023-12-01,5.440000,4.020000
60,2024-01-01,5.450000,4.060000
61,2024-02-01,5.440000,4.210000
62,2024-03-01,5.470000,4.210000
63,2024-04-01,5.440000,4.540000
64,2024-05-01,5.460000,4.480000
65,2024-06-01,5.510000,4.310000
