,Date,URATE
0,2019-01-01,4.000000
1,2019-02-01,3.800000
2,2019-03-01,3.800000
3,2019-04-01,3.700000
4,2019-05-01,3.600000
5,2019-06-01,3.600000
6,2019-07-01,3.700000
7,2019-08-01,3.600000
8,2019-09-01,3.500000
9,2019-10-01,3.600000
10,2019-11-01,3.600000
11,2019-12-01,3.600000
12,2020-01-01,3.600000
13,2020-02-01,3.500000
14,2020-03-01,4.400000
15,2020-04-01,14.800000
16,2020-05-01,13.200000
17,2020-06-01,11.000000
18,2020-07-01,10.200000
19,2020-08-01,8.400000
20,2020-09-01,7.800000
21,2020-10-01,6.800000
22,2020-11-01,6.700000
23,2020-12-01,6.700000
24,2021-01-01,6.400000
25,2021-02-01,6.200000
26,2021-03-01,6.100000
27,2021-04-01,6.100000
28,2021-05-01,5.800000
29,2021-06-01,5.900000
30,2021-07-01,5.400000
31,2021-08-01,5.100000
32,2021-09-01,4.700000
33,2021-10-01,4.500000
34,2021-11-01,4.100000
35,2021-12-01,3.900000
36,2022-01-01,4.000000
37,2022-02-01,3.800000
38,2022-03-01,3.600000
39,2022-04-01,3.700000
40,2022-05-01,3.600000
41,2022-06-01,3.600000
42,2022-07-01,3.500000
43,2022-08-01,3.600000
44,2022-09-01,3.500000
45,2022-10-01,3.600000
46,2022-11-01,3.600000
47,2022-12-01,3.500000
48,2023-01-01,3.400000
49,2023-02-01,3.600000
50,2023-03-01,3.500000
51,2023-04-01,3.400000
52,2023-05-01,3.700000
53,2023-06-01,3.600000
54,2023-07-01,3.500000
55,2023-08-01,3.800000
56,2023-09-01,3.800000
57,2023-10-01,3.800000
58,2023-11-01,3.700000
59,2023-12-01,3.700000
60,2024-01-01,3.700000
61,2024-02-01,3.900000
62,2024-03-01,3.800000
63,2024-04-01,3.900000
64,2024-05-01,4.000000
65,2024-06-01,4.100000
